Job Title,Company Name,Location,Publishing Date,Job Type,Skills,Job Requirements
Full-Stack Python/Django/Vue.js Developer,42 Coffee Cups -,"Tallinn, Estonia ",Posted 1 month ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Django Framework · Vue.js · Full Stack Development · HTML5 · CSS,"3+ years experience in web software development with full-stack engineering2+ years experience in Python1+ year experience in Django and its ecosystemWeb applications architecture (Nginx, uWSGI, Celery, MySQL/PostgreSQL, Memcache, Redis)JS/HTML5/CSS3/SCSS/LESS/webpackFull understanding of asynchronous development on both Frontend and BackendRESTful API architecture and DRFExperience in Vue.jsTest-Driven Development (TDD)MySQL/PostgreSQL and understanding of ORMUnderstanding of software design patternsConfidence in Git and UNIX/GNU Linux basic commandsFamiliarity with Docker and docker-composeGood EnglishPlanning ahead skills and confidence to express thoughts clearly in writingAttention to detailsHigh sense of responsibility for what you do Bonus pointsTroubleshooter set of mindExperience in data visualization with charts using JS libraries (D3.js/Echarts)Experience in other frontend frameworks (e.g. Angular, React, Backbone, Elm, etc)UI/UX design skills is a big plusCode profiling and optimization skills (Python/JS/SQL)Contribution to Open SourceBasic DevOps experience, Docker/docker-compose, KubernetesFamiliarity with serverless computing and micro-services architectureFamiliarity with Agile approachMasters degree in Computer Science or similar"
,,,,,,
Senior Python Web Developer,Docspert -,"Nasr City, Cairo, Egypt ",Posted 1 month ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · Web Development · Information Technology (IT) · Computer Science · Software Development,"Bachelor degree in Computer Science.5 years of experience or more in developing scalable and secure Python web applications using Flask and/or Django.Experience in database design and maintaining relational database systems.Experience in deploying web applications to the cloud, optimizing performance and monitoring security.Experience in using and integrating Cloud services to serve scalable applications.Strong understanding of front-end technologies.Building unit and integration testing scripts.Experience in developing web applications that are compliant with the latest security and regulatory guidelines.Experience with leading and coaching small teams.Basic understanding of DevOps and ML principles is needed, solid experience with any or both is a plus!A good command of written and spoken English is a must."
,,,,,,
Senior Python Developer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Posted 1 month ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,"Experience programming using python using familiar frameworks (flask, django, web2py...)Good SQL knowledge and database servers (MySQL, sqlite3...)Good web ui programming skills (jquery/javascript, HTML5, CSS3, ...)Good web services programming and understanding (sockets, HTTP, REST, SOAP, ...)Good networking understanding and troubleshooting (TCP/IP, IPv4/6, DNS, DHCP, NTP, FTP ...)C/c++ programming/developing (is a plus).Linux OS understanding and basic administration (is a plus).Familiar with standard web servers (Apache, Nginx ...)"
,,,,,,
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Posted 2 months ago,Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development,1-2 years of experience
,,,,,,
Python Developer,EXALT Technologies -,"Cairo, Egypt ",Posted 2 months ago,Full Time,Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Computer Engineering · Information Technology (IT) · Python · Django · Design Patterns · Unit Testing,"Bachelor of Science degree in Computer Science or Computer Engineering.Object-Oriented Analysis and design using common design patterns.Proficiency in Python/DjangoExperience in Relational Databases, SQL and ORM technologiesBuilding and designing RESTFul APIs.Unit testing and continuous integration.Ability to write clean, readable and quality code.Team player among an elite dynamic R&D group"
,,,,,,
